Está en la mesa.	It's on the table.
Es la única lengua que habla.	It's the only language he speaks.
¿Le conoces bien?	Do you know him well?
Voy a Canadá todos los veranos.	I go to Canada every summer.
¿Cómo te comunicas con él?	How do you communicate with him?
Quiero decir "¿cómo le hablas?"	I mean, "how do you speak to him?"
Le hablo como te hablo a ti ahora.	I speak to him like I'm speaking to you now.
Pero él no habla español.	But he doesn't speak Spanish.
Le hablo en inglés.	I speak to him in English.
Entonces hablas inglés.	Then you speak English.
Por supuesto que sí, ¿tú no?	Of course I do, don't you?
Sé un poco, pero no lo suficiente.	I know a little, but not enough.
¿No lo suficiente para qué?	Not enough for what?
No lo suficiente para hablar bien.	Not enough to speak well.
Es una lástima.	It's a pity.
¿Por qué dices eso?	Why do you say that?
Porque no sabes lo que estás perdiendo.	Because you don't know what you're missing.
Enséñame el idioma.	Teach me the language.
No sé enseñarlo.	I don't know how to teach it.
Entonces ¿cómo voy a aprenderlo?	Then, how am I going to learn it?
Hazlo como lo hago yo.	Do it like I do (it).
¿Cómo lo haces?	How do you do it?
Leo libros y escucho discos.	I read books and listen to CDs.
Nadie aprende idiomas de esa manera.	Nobody learns languages that way.
¿Quién mecanografía tus cartas?	Who types your letters?
La secretaria del director general.	The general manager's secretary.
Escribe muy bien a máquina.	She types very well.
Es por eso por lo que es la secretaria del director general.	That's why she's the general manager's secretary.
¿No tienes tu propia secretaria?	Don't you have your own secretary?
No tengo a nadie que me ayude.	I don't have anyone to help me.
¿Necesitas a alguien?	Do you need anyone?
Por supuesto que sí.	Of course I do.
Entonces pide a alguien.	Then ask for someone.
No es tan fácil.	It's not that easy.
¿Por qué fuma él tanto?	Why does he smoke so much?
El fumar le relaja.	Smoking relaxes him.
Así que necesita fumar.	So he needs to smoke.
Es una persona muy nerviosa.	He's a very nervy person.
¿Por qué es tan nervioso?	Why is he so nervy?
Supongo que es porque tiene muchas preocupaciones.	I suppose it's because he worries a lot.
¿Y por qué se preocupa tanto?	And why does he worry so much?
Tiene mucha responsabilidad.	He has a lot of responsibility.
¿Por qué es eso?	Why is that?
Porque mucha gente depende de él.	Because a lot of people depend on him.
No repitas todo lo que digo.	Don't repeat everything I say.
Él ahorra mucho dinero.	He saves a lot of money.
¿Ahorras tú mucho dinero también?	Do you save a lot of money too?
Gasto todo lo que gano.	I spend everything I earn.
Intento ahorrar pero no puedo.	I try to save but I can't.
¿Cuánto ahorra tu amigo?	How much does your friend save?
Ahorra el 25 por ciento de su sueldo.	He saves 25 percent of his salary.
¿Qué hace con el dinero?	What does he do with the money?
Lo usa para comprar regalos.	He uses it to buy presents.
¿Para quién compra regalos?	Who does he buy presents for?
Para todo el mundo excepto para ti.	For everyone except you.
¿Por qué no me regala nada?	Why doesn't he give me anything?
Porque haces demasiadas preguntas.	Because you ask too many questions.
¿Qué quieres?	What do you want?
¿Cuándo vas a pagarlo?	When are you going to pay for it?
¿Dónde lo vas a guardar?	Where are you going to keep it?
¿Cuándo se lo vas a dar a ella?	When are you going to give it to her?
¿Por qué quieres darle un anillo?	Why do you want to give her a ring?
¿Cuántos años tiene ella?	How old is she?
¿Sabe que quieres casarte con ella?	Does she know you want to marry her?
¿No es un poco joven?	Isn't she a little young?
Espero que sepas lo que haces.	I hope you know what you're doing.
Me gusta ayudar a la gente.	I like to help people.
Tienes que hacer un esfuerzo.	You have to make an effort.
¿Por qué tienen que venir aquí?	Why do they have to come here?
El espectáculo va a durar una hora.	The show's going to last an hour.
Le gusta gritar a la gente.	He likes to shout at people.
¿Es esto lo único que tienes?	Is this the only thing you have?
Él sabe más de lo que tú crees.	He knows more than you think.
Nadie sabe más que yo.	Nobody knows more than I do.
Nadie sabe por qué ella se fue.	Nobody knows why she left.
Todo el mundo piensa que va a nevar.	Everybody thinks it's going to snow.
Pienso visitar a Tom pronto.	I'm planning to visit Tom soon.
Febrero es un mes frío.	February's a cold month.
Él tiene problemas de salud.	He has health problems.
¿Quién no?	Who doesn't?
Yo no tengo problemas de ningún tipo.	I don't have problems of any kind.
Tienes mucha suerte.	You're very lucky.
No es una cuestión de suerte.	It's not a question of luck.
Nunca como demasiado.	I never eat too much.
Siempre como comidas equilibradas.	I always eat balanced meals.
Nunca gasto todo lo que gano.	I never spend everything I earn.
Siempre ahorro un poco cada mes.	I always save a little each month.
No fumo y nunca bebo demasiado.	I don't smoke and I never drink too much.
Me acuesto a una hora normal.	I go to bed at a normal time.
Hago ejercicio todas las mañanas.	I do exercises every morning.
Bebo muy poco café.	I drink very little coffee.
No dejo que las cosas me preocupen.	I don't let things worry me.
Organizo mi tiempo en el trabajo.	I organise my time at work.
No espero hasta el último momento para hacer algo.	I don't wait until the last minute to do something.
No vivo para trabajar.	I don't live for work.
Paso mucho tiempo con mi familia.	I spend a lot of time with my family.
Tomo vitaminas todos los días.	I take vitamins every day.
No tomo medicinas a no ser que sean absolutamente necesarias.	I don't take medicine unless it's absolutely necessary.
Sigo pensando que tienes mucha suerte.	I still think you're very lucky.
Sé que hay una manera de hacerlo.	I know there's a way to do it.
Haz lo que hago.	Do what I do.
¿Haces alguna vez algo malo?	Do you ever do anything bad?
Nunca hago nada malo.	I never do anything bad.
No me lo creo.	I don't believe it.
Yo nunca creo lo que él dice.	I never believe what he says.
¿Qué dice?	What does he say?
Dice mentiras.	He tells lies.
¿Estás seguro de eso?	Are you sure about that?
Siempre digo la verdad.	I always tell the truth.
Le voy a llamar ahora mismo.	I'm going to call him right now.
¿Por qué necesitas llamarle?	Why do you need to call him?
Necesito su consejo.	I need his advice.
¿Tienes un problema?	Do you have a problem?
No, pero quiero su consejo de todas formas.	No, but I want his advice anyway.
Dime lo que pasa.	Tell me what the matter is.
Necesito dinero.	I need some money.
¿Cuánto necesitas?	How much do you need?
Más de lo que tú tienes.	More than you have.
¿Quién va a dártelo?	Who's going to give it to you?
No sé todavía.	I don't know yet.
¿Todavía estás buscando a alguien?	Are you still looking for someone?
No es fácil encontrar dinero.	It's not easy to find money.
¿Sabe Morgan algo?	Does Morgan know anything?
Ya sabe todo.	He already knows everything.
¿Qué estás haciendo?	What are you doing?
¿Con qué frecuencia haces eso?	How often do you do that?
¿Entiendes por qué le estoy buscando?	Do you understand why I'm looking for him?
Siempre le estás buscando.	You're always looking for him.
Es porque siempre necesito encontrarle.	It's because I always need to find him.
¿Qué es lo que necesita tu hermano?	What does your brother need?
No estoy hablando contigo.	I'm not talking to you.
¿Qué te pasa?	What's the matter (with you)?
Todo el mundo quiere saber por qué.	Everybody wants to know why.
Es una reacción normal.	It's a normal reaction.
¿Qué crees que va a pasar?	What do you think is going to happen?
No va a pasar nada.	Nothing's going to happen.
No me des problemas.	Don't give me problems.
¿Por qué me estás mirando?	Why are you looking at me?
¿Crees que él va a venir?	Do you think he's going to come?
No sé qué creer.	I don't know what to think.
¿Por qué no nos lo piden?	Why don't they ask us for it?
Nunca piden cosas a la gente.	They never ask people for things.
Siempre piden vino primero.	They always order wine first.
No tengo nada.	I don't have anything.
Ese es el que se rompe fácilmente.	That's the one that breaks easily.
No funciona.	It doesn't work.
Estas cosas nunca funcionan.	These things never work.
Funcionan si las tratas bien.	They work if you treat them well.
¿A qué hora tienes que estar aquí?	What time do you have to be here?
Siempre tengo que limpiar el suelo.	I always have to clean the floor.
Te pagan bien, ¿no?	They pay you well, don't they?
Pero tengo los peores trabajos.	But I have the worst jobs.
Me gusta conocer a gente como tú.	I like to meet people like you.
Me alegro de que te guste el cuadro.	I'm glad you like the painting.
Me gusta mucho pintar.	I like to paint very much.
Sé que él estudia muy poco.	I know he studies very little.
Pienso pedírselo.	I'm planning to ask him for it.
¿No funciona bien?	Doesn't it work well?
¿No te entienden?	Don't they understand you?
¿No intenta él hacer nada?	Doesn't he try to do anything?
¿No llueve en tu país?	Doesn't it rain in your country?
Él te conoce, ¿no?	He knows you, doesn't he?
¿Qué dice el mensaje?	What does the message say?
¿Te pertenece esto?	Does this belong to you?
¿A quién pertenece?	Who does it belong to?
Nunca gano, siempre pierdo.	I never win, I always lose.
Nadie me quiere.	Nobody loves me.
¿Siempre va él solo?	Does he always go alone?
Eso es lo que le gusta hacer.	That's what he likes to do.
¿Qué te gusta a ti hacer?	What do you like to do?
Me gusta hacer lo que él hace.	I like to do what he does.
Ten cuidado cuando sales con él.	Be careful when you go out with him.
Trabaja de día y duerme de noche.	He works during the day and sleeps at night.
